i,j,y,t,l,k,alpha,psi,cat_control,cts_control
7,43,-3.468105001,1,1,0,-0.861454599,-1.335177736,0,0.89766773
7,43,-6.512812327,2,1,0,-0.861454599,-1.335177736,1,0.786369701
7,43,-1.600717375,3,1,0,-0.861454599,-1.335177736,1,0.71784728
7,43,-2.964482239,4,1,0,-0.861454599,-1.335177736,1,0.937451295
8,145,-0.257147385,0,2,8,0,0.908457869,0,0.547046048
8,145,1.744157441,1,2,8,0,0.908457869,0,0.921839355
8,145,0.053802053,2,2,8,0,0.908457869,1,0.544767734
8,145,0.697918184,3,2,8,0,0.908457869,1,0.683469402
8,145,3.616928156,4,2,8,0,0.908457869,0,0.277849542
9,66,-2.114610717,0,2,1,0,-0.908457869,0,0.655221943
9,66,-0.005626169,1,2,1,0,-0.908457869,1,0.777174544
9,66,-4.9467144,2,2,1,0,-0.908457869,0,0.189303885
9,66,-1.928042281,3,2,1,0,-0.908457869,0,0.528901744
9,66,-3.54354703,4,2,1,0,-0.908457869,0,0.86199401
10,87,0.393775578,0,2,3,0,-0.348755696,1,0.293209592
10,87,2.136592422,1,2,3,0,-0.348755696,0,0.766050542
10,41,0.354944213,2,2,0,0,-1.335177736,1,0.530563173
10,39,-0.080210194,3,2,0,0,-1.335177736,0,0.244751892
10,39,-0.987370242,4,2,0,0,-1.335177736,1,0.96175508
11,133,2.228840162,0,4,8,1.934843132,0.908457869,1,0.783751009
11,133,3.283451948,1,4,8,1.934843132,0.908457869,1,0.94557115
11,133,0.890771387,2,4,8,1.934843132,0.908457869,1,0.756850329
11,133,2.470361148,3,4,8,1.934843132,0.908457869,0,0.848671089
11,133,2.891492709,4,4,8,1.934843132,0.908457869,1,0.131752814
12,38,-3.089403517,0,0,0,-1.934843132,-1.335177736,1,0.470388833
12,38,-2.917790374,1,0,0,-1.934843132,-1.335177736,0,0.857908535
12,38,-6.674476468,2,0,0,-1.934843132,-1.335177736,1,0.924535462
12,38,-4.33850337,3,0,0,-1.934843132,-1.335177736,0,0.069322614
12,38,-3.41698554,4,0,0,-1.934843132,-1.335177736,0,0.463686727
13,166,3.601188431,0,4,9,1.934843132,1.335177736,0,0.441936401
13,166,4.384717967,1,4,9,1.934843132,1.335177736,0,0.642959628
13,164,2.857637623,2,4,9,1.934843132,1.335177736,1,0.143755844
13,160,2.14191724,3,4,9,1.934843132,1.335177736,0,0.461450976
13,160,-1.493568003,4,4,9,1.934843132,1.335177736,0,0.814231154
14,1,-1.263754289,0,0,0,-1.934843132,-1.335177736,1,0.265715068
14,1,-5.33738455,1,0,0,-1.934843132,-1.335177736,0,0.300940942
14,1,-3.976061685,2,0,0,-1.934843132,-1.335177736,0,0.902437489
14,1,-3.507568791,3,0,0,-1.934843132,-1.335177736,0,0.527640318
14,1,-5.225706745,4,0,0,-1.934843132,-1.335177736,1,0.895265158
15,154,2.088912936,0,3,9,0.861454599,1.335177736,0,0.451127896
15,154,1.547581882,1,3,9,0.861454599,1.335177736,1,0.703368044
15,154,2.979165163,2,3,9,0.861454599,1.335177736,1,0.506438854
15,154,1.353077935,3,3,9,0.861454599,1.335177736,0,0.276793669
15,154,2.804873919,4,3,9,0.861454599,1.335177736,0,0.410878843
16,188,5.041831118,0,4,9,1.934843132,1.335177736,0,0.204872106
16,188,1.501191799,1,4,9,1.934843132,1.335177736,1,0.632861359
16,141,4.523558372,2,4,8,1.934843132,0.908457869,1,0.241720379
16,141,3.12422385,3,4,8,1.934843132,0.908457869,0,0.899447544
16,141,4.108016122,4,4,8,1.934843132,0.908457869,0,0.145539752
17,192,1.562204327,0,3,9,0.861454599,1.335177736,1,0.162289697
17,192,-0.952917656,1,3,9,0.861454599,1.335177736,1,0.69849172
17,192,1.788196771,2,3,9,0.861454599,1.335177736,1,0.526098066
17,192,1.28863372,3,3,9,0.861454599,1.335177736,1,0.374543631
17,192,-1.10570139,4,3,9,0.861454599,1.335177736,0,0.917417888
18,102,0.944358994,0,3,5,0.861454599,0.114185294,0,0.676355012
18,102,0.48700079,1,3,5,0.861454599,0.114185294,1,0.672996868
18,102,0.61702277,2,3,5,0.861454599,0.114185294,1,0.64441671
18,102,1.291622494,3,3,5,0.861454599,0.114185294,0,0.068401201
18,102,5.924303883,4,3,5,0.861454599,0.114185294,1,0.624572221
19,15,-0.095459602,0,0,0,-1.934843132,-1.335177736,1,0.189259576
19,15,-3.736689231,1,0,0,-1.934843132,-1.335177736,0,0.978174378
19,22,-2.937085846,2,0,0,-1.934843132,-1.335177736,1,0.497594469
19,22,-4.179359467,3,0,0,-1.934843132,-1.335177736,1,0.740950927
19,50,-2.342166358,4,0,1,-1.934843132,-0.908457869,1,0.158855933
20,155,0.019450534,0,3,9,0.861454599,1.335177736,0,0.269422263
20,155,1.881041564,1,3,9,0.861454599,1.335177736,0,0.366933777
20,155,1.39897689,2,3,9,0.861454599,1.335177736,0,0.270632814
20,170,1.339407554,3,3,9,0.861454599,1.335177736,1,0.370741608
20,170,-0.407210592,4,3,9,0.861454599,1.335177736,0,0.406704639
21,166,2.190761245,0,4,9,1.934843132,1.335177736,0,0.520910433
21,151,0.658843014,1,4,9,1.934843132,1.335177736,0,0.560560659
21,151,6.51092727,2,4,9,1.934843132,1.335177736,0,0.272927438
21,151,2.44971392,3,4,9,1.934843132,1.335177736,1,0.043886945
21,151,2.451285032,4,4,9,1.934843132,1.335177736,1,0.347183464
22,99,1.558602787,0,2,4,0,-0.114185294,0,0.132965591
22,99,-0.177412712,1,2,4,0,-0.114185294,1,0.468512231
22,99,-2.836272313,2,2,4,0,-0.114185294,1,0.188747712
22,99,-3.762351883,3,2,4,0,-0.114185294,0,0.700175611
22,99,-0.339034294,4,2,4,0,-0.114185294,1,0.145309654
23,114,1.058823546,0,3,6,0.861454599,0.348755696,0,0.214420059
23,114,2.554165154,1,3,6,0.861454599,0.348755696,0,0.507171159
23,114,-2.193219875,2,3,6,0.861454599,0.348755696,1,0.125574856
23,114,3.354322292,3,3,6,0.861454599,0.348755696,1,0.921678372
23,197,5.01491442,4,3,9,0.861454599,1.335177736,1,0.397567932
24,71,-2.147168999,0,2,2,0,-0.604585347,0,0.846777452
24,71,-0.493287445,1,2,2,0,-0.604585347,0,0.409888526
24,71,0.876992824,2,2,2,0,-0.604585347,0,0.220105617
24,71,-2.360937498,3,2,2,0,-0.604585347,1,0.276649583
24,79,-0.391416743,4,2,2,0,-0.604585347,1,0.979023715
25,25,-3.847830037,0,0,0,-1.934843132,-1.335177736,0,0.891032623
25,25,-2.618580692,1,0,0,-1.934843132,-1.335177736,0,0.627718044
25,25,-3.037192928,2,0,0,-1.934843132,-1.335177736,1,0.424672161
25,25,-3.781776756,3,0,0,-1.934843132,-1.335177736,0,0.543651879
25,25,-1.366439603,4,0,0,-1.934843132,-1.335177736,0,0.066133198
26,142,2.44704424,0,4,8,1.934843132,0.908457869,0,0.921605502
26,142,1.257025673,1,4,8,1.934843132,0.908457869,0,0.465513861
26,142,-0.85535515,2,4,8,1.934843132,0.908457869,0,0.08357346
26,142,3.525456119,3,4,8,1.934843132,0.908457869,1,0.294200468
26,142,3.754893576,4,4,8,1.934843132,0.908457869,1,0.123789765
27,45,-0.5563327,0,1,0,-0.861454599,-1.335177736,1,0.724627273
27,45,-3.561010385,1,1,0,-0.861454599,-1.335177736,1,0.351846488
27,45,-2.63456018,2,1,0,-0.861454599,-1.335177736,0,0.031812206
27,45,-3.267245357,3,1,0,-0.861454599,-1.335177736,0,0.882088495
27,45,-4.299092185,4,1,0,-0.861454599,-1.335177736,1,0.468199809
28,37,-3.54240426,0,1,0,-0.861454599,-1.335177736,1,0.955970391
28,37,-2.831944942,1,1,0,-0.861454599,-1.335177736,1,0.962252622
28,37,-4.501227772,2,1,0,-0.861454599,-1.335177736,1,0.439390651
28,37,-4.522424496,3,1,0,-0.861454599,-1.335177736,0,0.941570033
28,37,0.065108116,4,1,0,-0.861454599,-1.335177736,0,0.229821329
29,174,-0.858578751,0,2,9,0,1.335177736,1,0.336105847
29,174,0.31964298,1,2,9,0,1.335177736,0,0.986007617
29,174,-0.243330965,2,2,9,0,1.335177736,1,0.656122047
29,110,-0.559666562,3,2,6,0,0.348755696,0,0.233377164
29,110,-1.067761132,4,2,6,0,0.348755696,0,0.878687215
30,175,4.761407339,0,4,9,1.934843132,1.335177736,0,0.727276287
30,175,2.707448526,1,4,9,1.934843132,1.335177736,1,0.305316385
30,175,5.011819229,2,4,9,1.934843132,1.335177736,1,0.725108375
30,175,1.440987156,3,4,9,1.934843132,1.335177736,0,0.234000311
30,175,3.550549745,4,4,9,1.934843132,1.335177736,1,0.361372597
31,68,-0.681195621,0,1,1,-0.861454599,-0.908457869,0,0.550344676
31,68,-2.334088148,1,1,1,-0.861454599,-0.908457869,0,0.274392017
31,68,-2.831888125,2,1,1,-0.861454599,-0.908457869,1,0.163345972
31,68,-4.400408082,3,1,1,-0.861454599,-0.908457869,1,0.542756034
31,68,0.955850461,4,1,1,-0.861454599,-0.908457869,0,0.974138155
32,174,1.348221946,0,4,9,1.934843132,1.335177736,0,0.752428682
32,174,6.691169718,1,4,9,1.934843132,1.335177736,1,0.188307302
32,174,1.757931795,2,4,9,1.934843132,1.335177736,0,0.649288254
32,197,2.528427763,3,4,9,1.934843132,1.335177736,1,0.103046887
32,197,2.797060633,4,4,9,1.934843132,1.335177736,0,0.945687929
33,176,4.162625099,0,3,9,0.861454599,1.335177736,1,0.400798162
33,176,1.431547393,1,3,9,0.861454599,1.335177736,1,0.257953212
33,176,3.366845811,2,3,9,0.861454599,1.335177736,0,0.332973014
33,176,3.623439037,3,3,9,0.861454599,1.335177736,0,0.194195577
33,176,0.937709067,4,3,9,0.861454599,1.335177736,0,0.110265549
34,90,-3.117117535,0,3,3,0.861454599,-0.348755696,1,0.404586203
34,116,1.919811204,1,3,6,0.861454599,0.348755696,1,0.527235221
34,143,3.396515807,2,3,8,0.861454599,0.908457869,1,0.984328754
34,143,1.82547078,3,3,8,0.861454599,0.908457869,1,0.208017185
34,143,-1.89510737,4,3,8,0.861454599,0.908457869,1,0.942314126
35,165,1.470093221,0,3,9,0.861454599,1.335177736,0,0.204838118
35,165,3.535376627,1,3,9,0.861454599,1.335177736,1,0.951958535
35,165,1.705835171,2,3,9,0.861454599,1.335177736,0,0.994507471
35,165,6.072151748,3,3,9,0.861454599,1.335177736,0,0.112055587
35,165,1.691411166,4,3,9,0.861454599,1.335177736,0,0.935927278
36,138,3.334362512,0,3,8,0.861454599,0.908457869,0,0.023064444
36,138,2.769804447,1,3,8,0.861454599,0.908457869,1,0.794592932
36,138,1.993974986,2,3,8,0.861454599,0.908457869,0,0.27022189
36,138,1.53501086,3,3,8,0.861454599,0.908457869,0,0.045609008
36,137,0.268599288,4,3,8,0.861454599,0.908457869,0,0.079883188
37,120,1.225425474,0,3,7,0.861454599,0.604585347,0,0.107180268
37,120,-1.55435873,1,3,7,0.861454599,0.604585347,1,0.268573905
37,120,2.871224631,2,3,7,0.861454599,0.604585347,0,0.241052339
37,120,-1.547164419,3,3,7,0.861454599,0.604585347,1,0.503479865
37,120,-2.958722759,4,3,7,0.861454599,0.604585347,1,0.786114859
38,57,-0.296045436,0,2,1,0,-0.908457869,1,0.393239392
38,57,-1.149535583,1,2,1,0,-0.908457869,1,0.196045168
38,74,0.779704167,2,2,2,0,-0.604585347,0,0.635988739
38,74,-0.712077921,3,2,2,0,-0.604585347,0,0.900418328
38,38,1.582873477,4,2,0,0,-1.335177736,1,0.882656384
39,84,2.608438695,0,2,3,0,-0.348755696,0,0.309502741
39,105,2.309672984,1,2,5,0,0.114185294,0,0.589406513
39,105,0.091245281,2,2,5,0,0.114185294,1,0.24957103
39,105,-1.886628468,3,2,5,0,0.114185294,0,0.571548063
39,105,-4.174942844,4,2,5,0,0.114185294,1,0.814527611
40,41,-4.582386886,0,0,0,-1.934843132,-1.335177736,1,0.868204076
40,47,-2.14223064,1,0,0,-1.934843132,-1.335177736,0,0.34054304
40,47,-5.657230345,2,0,0,-1.934843132,-1.335177736,1,0.974430503
40,47,-5.082580071,3,0,0,-1.934843132,-1.335177736,0,0.969915059
40,47,-6.59903811,4,0,0,-1.934843132,-1.335177736,1,0.667064893
41,20,-5.69623846,0,0,0,-1.934843132,-1.335177736,0,0.29853862
41,20,-5.290724774,1,0,0,-1.934843132,-1.335177736,1,0.673963758
41,20,-0.822442639,2,0,0,-1.934843132,-1.335177736,1,0.629917721
41,23,-2.831771961,3,0,0,-1.934843132,-1.335177736,1,0.429009941
41,23,-3.257591259,4,0,0,-1.934843132,-1.335177736,1,0.424730701
42,21,-2.093810145,0,1,0,-0.861454599,-1.335177736,0,0.290287328
42,21,-1.968562919,1,1,0,-0.861454599,-1.335177736,1,0.127912313
42,21,-2.969251112,2,1,0,-0.861454599,-1.335177736,1,0.17098523
42,21,-3.613854138,3,1,0,-0.861454599,-1.335177736,0,0.047574637
42,34,-3.349983607,4,1,0,-0.861454599,-1.335177736,0,0.453627413
43,161,1.86285579,0,2,9,0,1.335177736,1,0.9407016
43,161,2.576570496,1,2,9,0,1.335177736,0,0.07574164
43,161,1.1673735,2,2,9,0,1.335177736,1,0.946766462
43,161,5.441131145,3,2,9,0,1.335177736,1,0.619187148
43,161,0.897581349,4,2,9,0,1.335177736,1,0.400323017
44,67,-6.658517419,0,2,1,0,-0.908457869,1,0.687187649
44,85,2.880090725,1,2,3,0,-0.348755696,1,0.748340056
44,85,-4.084674462,2,2,3,0,-0.348755696,1,0.599345805
44,85,2.779382319,3,2,3,0,-0.348755696,0,0.591305231
44,75,-1.301368254,4,2,2,0,-0.604585347,0,0.140590942
45,178,1.882845536,0,4,9,1.934843132,1.335177736,0,0.631651438
45,178,3.574799745,1,4,9,1.934843132,1.335177736,0,0.029936903
45,178,2.231329375,2,4,9,1.934843132,1.335177736,1,0.820469383
45,178,6.415325496,3,4,9,1.934843132,1.335177736,0,0.369785419
45,163,7.044925491,4,4,9,1.934843132,1.335177736,1,0.24505334
46,117,-0.441271197,0,2,7,0,0.604585347,0,0.364273353
46,117,2.359211609,1,2,7,0,0.604585347,0,0.135348119
46,117,3.732462307,2,2,7,0,0.604585347,0,0.756123883
46,136,4.758091349,3,2,8,0,0.908457869,0,0.983924352
46,136,-0.252154719,4,2,8,0,0.908457869,0,0.409538332
47,12,-0.788226996,0,0,0,-1.934843132,-1.335177736,0,0.358924219
47,12,-2.200423619,1,0,0,-1.934843132,-1.335177736,1,0.629829239
47,12,-3.378670431,2,0,0,-1.934843132,-1.335177736,1,0.844275654
47,12,0.60134435,3,0,0,-1.934843132,-1.335177736,0,0.880832867
47,39,-4.476723864,4,0,0,-1.934843132,-1.335177736,1,0.530141612
48,72,0.206682103,0,1,2,-0.861454599,-0.604585347,0,0.774665816
48,72,-0.739191781,1,1,2,-0.861454599,-0.604585347,0,0.051685187
48,72,-1.577226507,2,1,2,-0.861454599,-0.604585347,0,0.115951074
48,72,-3.493269801,3,1,2,-0.861454599,-0.604585347,1,0.934065093
48,72,-0.826179309,4,1,2,-0.861454599,-0.604585347,0,0.500196496
49,18,-0.17090092,0,0,0,-1.934843132,-1.335177736,1,0.880538017
49,28,-3.209750647,1,0,0,-1.934843132,-1.335177736,1,0.861939987
49,28,-0.887594504,2,0,0,-1.934843132,-1.335177736,0,0.779697933
49,28,-4.886619035,3,0,0,-1.934843132,-1.335177736,0,0.464018996
49,28,-4.191787214,4,0,0,-1.934843132,-1.335177736,1,0.709578896
50,111,0.106376153,0,2,6,0,0.348755696,0,0.25253578
50,111,2.032668074,1,2,6,0,0.348755696,1,0.92856842
50,111,1.119673403,2,2,6,0,0.348755696,0,0.12310682
50,111,3.509649449,3,2,6,0,0.348755696,1,0.547822334
50,88,-0.500606863,4,2,3,0,-0.348755696,1,0.443593458
51,168,3.437025531,0,3,9,0.861454599,1.335177736,0,0.143286876
51,168,4.678859984,1,3,9,0.861454599,1.335177736,0,0.197187894
51,197,4.010987513,2,3,9,0.861454599,1.335177736,1,0.430897288
51,197,0.468702639,3,3,9,0.861454599,1.335177736,0,0.994184051
51,197,-0.078476494,4,3,9,0.861454599,1.335177736,1,0.257613493
52,28,-2.763010915,0,0,0,-1.934843132,-1.335177736,1,0.571257429
52,28,0.065882442,1,0,0,-1.934843132,-1.335177736,0,0.952759711
52,28,-3.307862662,2,0,0,-1.934843132,-1.335177736,0,0.457917079
52,28,-3.935422405,3,0,0,-1.934843132,-1.335177736,0,0.161089558
52,28,-0.959732677,4,0,0,-1.934843132,-1.335177736,1,0.33916338
53,132,0.730640101,0,3,8,0.861454599,0.908457869,0,0.907538485
53,132,2.395326023,1,3,8,0.861454599,0.908457869,0,0.537864472
53,132,0.605975681,2,3,8,0.861454599,0.908457869,1,0.02839863
53,132,4.407507568,3,3,8,0.861454599,0.908457869,0,0.305600121
53,132,3.916218881,4,3,8,0.861454599,0.908457869,0,0.602364818
54,185,0.876286339,0,3,9,0.861454599,1.335177736,1,0.19248452
54,185,2.331652594,1,3,9,0.861454599,1.335177736,1,0.97793627
54,185,2.989002417,2,3,9,0.861454599,1.335177736,0,0.340548268
54,122,2.515049016,3,3,7,0.861454599,0.604585347,0,0.235415274
54,122,5.756621894,4,3,7,0.861454599,0.604585347,1,0.287796417
55,168,-2.002880058,0,2,9,0,1.335177736,1,0.363646511
55,168,2.211114704,1,2,9,0,1.335177736,0,0.989735886
55,168,-0.598235866,2,2,9,0,1.335177736,1,0.074402299
55,176,0.900503438,3,2,9,0,1.335177736,1,0.602068029
55,176,6.437364116,4,2,9,0,1.335177736,1,0.45578906
56,150,4.767687836,0,4,9,1.934843132,1.335177736,0,0.61999012
56,150,2.839957663,1,4,9,1.934843132,1.335177736,0,0.374534966
56,150,3.019138482,2,4,9,1.934843132,1.335177736,1,0.875938789
56,150,1.234801934,3,4,9,1.934843132,1.335177736,1,0.238729796
56,150,7.845562392,4,4,9,1.934843132,1.335177736,0,0.833282269
57,36,-3.01343327,0,0,0,-1.934843132,-1.335177736,0,0.309583334
57,36,-0.656794443,1,0,0,-1.934843132,-1.335177736,1,0.414575689
57,36,-6.008639098,2,0,0,-1.934843132,-1.335177736,0,0.168450101
57,36,-3.055962716,3,0,0,-1.934843132,-1.335177736,0,0.230728945
57,36,-1.275592102,4,0,0,-1.934843132,-1.335177736,0,0.467638337
58,43,-2.348924317,0,0,0,-1.934843132,-1.335177736,1,0.996170039
58,43,-0.19851036,1,0,0,-1.934843132,-1.335177736,0,0.48230719
58,43,-0.828705091,2,0,0,-1.934843132,-1.335177736,1,0.458419821
58,43,-2.520076397,3,0,0,-1.934843132,-1.335177736,0,0.950650758
58,43,-4.35253535,4,0,0,-1.934843132,-1.335177736,1,0.562976686
59,69,-2.880395141,0,0,1,-1.934843132,-0.908457869,1,0.947467069
59,37,-2.478494893,1,0,0,-1.934843132,-1.335177736,1,0.858221814
59,37,-4.709690607,2,0,0,-1.934843132,-1.335177736,1,0.675899294
59,37,-1.014638381,3,0,0,-1.934843132,-1.335177736,0,0.086944866
59,37,-2.216635892,4,0,0,-1.934843132,-1.335177736,1,0.497935348
60,132,2.018387905,0,3,8,0.861454599,0.908457869,1,0.323737839
60,132,1.920592867,1,3,8,0.861454599,0.908457869,0,0.671932987
60,132,1.942618082,2,3,8,0.861454599,0.908457869,1,0.449390932
60,132,4.858395229,3,3,8,0.861454599,0.908457869,0,0.359044814
60,132,1.300344826,4,3,8,0.861454599,0.908457869,0,0.875709629
61,49,-2.279146506,0,1,0,-0.861454599,-1.335177736,0,0.401848664
61,49,0.438517229,1,1,0,-0.861454599,-1.335177736,0,0.949386883
61,49,2.017912052,2,1,0,-0.861454599,-1.335177736,1,0.638579568
61,49,-6.706700493,3,1,0,-0.861454599,-1.335177736,0,0.380393853
61,49,-3.523407289,4,1,0,-0.861454599,-1.335177736,0,0.947966197
62,10,-6.649128151,0,0,0,-1.934843132,-1.335177736,1,0.628839245
62,10,-4.036092047,1,0,0,-1.934843132,-1.335177736,0,0.834599682
62,10,-5.080040273,2,0,0,-1.934843132,-1.335177736,0,0.186427149
62,10,-7.26456484,3,0,0,-1.934843132,-1.335177736,0,0.786512525
62,10,-8.965071365,4,0,0,-1.934843132,-1.335177736,1,0.042787269
63,196,4.006174159,0,4,9,1.934843132,1.335177736,0,0.86593231
63,128,6.234870049,1,4,8,1.934843132,0.908457869,1,0.798529433
63,128,6.077207424,2,4,8,1.934843132,0.908457869,1,0.922542097
63,128,1.621703708,3,4,8,1.934843132,0.908457869,0,0.064143685
63,128,5.199357135,4,4,8,1.934843132,0.908457869,0,0.61650321
64,88,-3.254028817,0,1,3,-0.861454599,-0.348755696,0,0.942393933
64,88,-1.807517766,1,1,3,-0.861454599,-0.348755696,1,0.458212952
64,88,-2.490132954,2,1,3,-0.861454599,-0.348755696,1,0.647981749
64,88,0.050325431,3,1,3,-0.861454599,-0.348755696,0,0.964242899
64,88,-0.694721697,4,1,3,-0.861454599,-0.348755696,0,0.241463273
65,12,-1.635091608,0,0,0,-1.934843132,-1.335177736,1,0.104529349
65,12,-3.320846417,1,0,0,-1.934843132,-1.335177736,1,0.051715132
65,43,-2.354496974,2,0,0,-1.934843132,-1.335177736,1,0.862894285
65,43,-4.181300587,3,0,0,-1.934843132,-1.335177736,1,0.097995466
65,5,-1.715574869,4,0,0,-1.934843132,-1.335177736,0,0.951773043
66,159,1.081016918,0,4,9,1.934843132,1.335177736,0,0.329307275
66,159,4.20569015,1,4,9,1.934843132,1.335177736,1,0.579292989
66,159,6.618338043,2,4,9,1.934843132,1.335177736,1,0.943688066
66,159,1.972786887,3,4,9,1.934843132,1.335177736,0,0.407330162
66,159,2.9378559,4,4,9,1.934843132,1.335177736,1,0.847079681
67,170,5.587708649,0,4,9,1.934843132,1.335177736,1,0.407846975
67,170,1.999627077,1,4,9,1.934843132,1.335177736,0,0.09483585
67,158,6.177559302,2,4,9,1.934843132,1.335177736,1,0.57717336
67,180,2.595151392,3,4,9,1.934843132,1.335177736,1,0.598135923
67,180,4.420679418,4,4,9,1.934843132,1.335177736,1,0.0312916
68,56,-2.298532887,0,0,1,-1.934843132,-0.908457869,0,0.557050632
68,56,-2.829544531,1,0,1,-1.934843132,-0.908457869,0,0.883410592
68,56,-2.230577004,2,0,1,-1.934843132,-0.908457869,0,0.775355573
68,56,-3.164920889,3,0,1,-1.934843132,-0.908457869,1,0.612657024
68,56,-2.703439307,4,0,1,-1.934843132,-0.908457869,0,0.212534762
69,149,5.30399542,0,4,9,1.934843132,1.335177736,0,0.44769863
69,149,-2.686474647,1,4,9,1.934843132,1.335177736,0,0.327785786
69,149,3.620226947,2,4,9,1.934843132,1.335177736,0,0.126594056
69,149,3.259671571,3,4,9,1.934843132,1.335177736,1,0.694328281
69,149,-0.84515297,4,4,9,1.934843132,1.335177736,1,0.131502159
70,85,-0.849239832,0,2,3,0,-0.348755696,0,0.87100792
70,85,-2.689635474,1,2,3,0,-0.348755696,1,0.410760583
70,85,-3.08255748,2,2,3,0,-0.348755696,1,0.906597917
70,85,0.630554391,3,2,3,0,-0.348755696,0,0.589307032
70,85,-3.550117347,4,2,3,0,-0.348755696,1,0.005865101
71,82,0.068197575,0,1,2,-0.861454599,-0.604585347,0,0.20115428
71,82,-1.505043149,1,1,2,-0.861454599,-0.604585347,0,0.946383079
71,82,0.365601805,2,1,2,-0.861454599,-0.604585347,1,0.333372752
71,82,-1.788328017,3,1,2,-0.861454599,-0.604585347,1,0.440385569
71,82,-0.852509934,4,1,2,-0.861454599,-0.604585347,1,0.875247445
72,196,1.611925066,0,3,9,0.861454599,1.335177736,0,0.176068974
72,127,1.489855781,1,3,7,0.861454599,0.604585347,0,0.952262954
72,127,5.738981574,2,3,7,0.861454599,0.604585347,0,0.565036933
72,127,2.150675283,3,3,7,0.861454599,0.604585347,1,0.619331235
72,127,2.427919124,4,3,7,0.861454599,0.604585347,1,0.726189492
73,107,0.694556608,0,3,6,0.861454599,0.348755696,0,0.365933254
73,107,0.428204778,1,3,6,0.861454599,0.348755696,0,0.839526848
73,107,-0.238171307,2,3,6,0.861454599,0.348755696,1,0.449395118
73,107,1.302768952,3,3,6,0.861454599,0.348755696,0,0.949611847
73,137,1.840641048,4,3,8,0.861454599,0.908457869,0,0.113535969
74,135,5.424802809,0,4,8,1.934843132,0.908457869,0,0.979346565
74,135,2.572030653,1,4,8,1.934843132,0.908457869,0,0.406799945
74,135,4.882618382,2,4,8,1.934843132,0.908457869,0,0.965033224
74,135,1.167011903,3,4,8,1.934843132,0.908457869,1,0.066890258
74,135,3.626455731,4,4,8,1.934843132,0.908457869,1,0.73037744
75,114,1.654310893,0,2,6,0,0.348755696,1,0.389836549
75,114,1.282869872,1,2,6,0,0.348755696,1,0.876257442
75,114,0.152201369,2,2,6,0,0.348755696,0,0.165249467
75,114,-0.968716257,3,2,6,0,0.348755696,0,0.887739395
75,114,-3.078880612,4,2,6,0,0.348755696,1,0.220028228
76,184,4.265529519,0,4,9,1.934843132,1.335177736,1,0.738235822
76,184,3.943675027,1,4,9,1.934843132,1.335177736,1,0.194393575
