,i,j,y,t,l,k,alpha,psi
116,23,114,2.5541651540081904,1,3,6,0.8614545985909149,0.3487556955170447
117,23,114,-2.193219875229701,2,3,6,0.8614545985909149,0.3487556955170447
118,23,114,3.3543222924347207,3,3,6,0.8614545985909149,0.3487556955170447
119,23,197,5.014914420396128,4,3,9,0.8614545985909149,1.3351777361189363
120,24,71,-2.147168999150125,0,2,2,0.0,-0.6045853465832371
121,24,71,-0.49328744490995324,1,2,2,0.0,-0.6045853465832371
122,24,71,0.8769928241035241,2,2,2,0.0,-0.6045853465832371
123,24,71,-2.3609374976536337,3,2,2,0.0,-0.6045853465832371
124,24,79,-0.39141674254407893,4,2,2,0.0,-0.6045853465832371
125,25,25,-3.847830036774105,0,0,0,-1.934843132203402,-1.335177736118937
126,25,25,-2.618580692001969,1,0,0,-1.934843132203402,-1.335177736118937
127,25,25,-3.037192927709444,2,0,0,-1.934843132203402,-1.335177736118937
128,25,25,-3.7817767555401867,3,0,0,-1.934843132203402,-1.335177736118937
129,25,25,-1.3664396030578227,4,0,0,-1.934843132203402,-1.335177736118937
130,26,142,2.4470442398668633,0,4,8,1.934843132203402,0.9084578685373853
131,26,142,1.2570256731444762,1,4,8,1.934843132203402,0.9084578685373853
132,26,142,-0.8553551501672954,2,4,8,1.934843132203402,0.9084578685373853
133,26,142,3.525456119427732,3,4,8,1.934843132203402,0.9084578685373853
134,26,142,3.7548935764523,4,4,8,1.934843132203402,0.9084578685373853
135,27,45,-0.5563327004839262,0,1,0,-0.8614545985909151,-1.335177736118937
136,27,45,-3.5610103854379473,1,1,0,-0.8614545985909151,-1.335177736118937
137,27,45,-2.6345601800830547,2,1,0,-0.8614545985909151,-1.335177736118937
138,27,45,-3.267245356585766,3,1,0,-0.8614545985909151,-1.335177736118937
139,27,45,-4.29909218507883,4,1,0,-0.8614545985909151,-1.335177736118937
140,28,37,-3.542404259890571,0,1,0,-0.8614545985909151,-1.335177736118937
141,28,37,-2.8319449422917935,1,1,0,-0.8614545985909151,-1.335177736118937
142,28,37,-4.501227771967677,2,1,0,-0.8614545985909151,-1.335177736118937
143,28,37,-4.522424495905877,3,1,0,-0.8614545985909151,-1.335177736118937
144,28,37,0.06510811635595992,4,1,0,-0.8614545985909151,-1.335177736118937
145,29,174,-0.8585787513628205,0,2,9,0.0,1.3351777361189363
146,29,174,0.3196429800605629,1,2,9,0.0,1.3351777361189363
147,29,174,-0.2433309650245108,2,2,9,0.0,1.3351777361189363
148,29,110,-0.5596665615521572,3,2,6,0.0,0.3487556955170447
149,29,110,-1.0677611321444707,4,2,6,0.0,0.3487556955170447
150,30,175,4.761407339466896,0,4,9,1.934843132203402,1.3351777361189363
151,30,175,2.7074485256824787,1,4,9,1.934843132203402,1.3351777361189363
152,30,175,5.011819228555877,2,4,9,1.934843132203402,1.3351777361189363
153,30,175,1.440987156168054,3,4,9,1.934843132203402,1.3351777361189363
154,30,175,3.5505497445971494,4,4,9,1.934843132203402,1.3351777361189363
155,31,68,-0.6811956212708694,0,1,1,-0.8614545985909151,-0.9084578685373851
156,31,68,-2.3340881479503275,1,1,1,-0.8614545985909151,-0.9084578685373851
157,31,68,-2.831888124874509,2,1,1,-0.8614545985909151,-0.9084578685373851
158,31,68,-4.4004080817201885,3,1,1,-0.8614545985909151,-0.9084578685373851
159,31,68,0.9558504611342626,4,1,1,-0.8614545985909151,-0.9084578685373851
160,32,174,1.3482219458831113,0,4,9,1.934843132203402,1.3351777361189363
161,32,174,6.691169717753917,1,4,9,1.934843132203402,1.3351777361189363
162,32,174,1.7579317946964172,2,4,9,1.934843132203402,1.3351777361189363
163,32,197,2.5284277627673726,3,4,9,1.934843132203402,1.3351777361189363
164,32,197,2.79706063307024,4,4,9,1.934843132203402,1.3351777361189363
165,33,176,4.162625098547094,0,3,9,0.8614545985909149,1.3351777361189363
166,33,176,1.4315473931642049,1,3,9,0.8614545985909149,1.3351777361189363
167,33,176,3.3668458107391257,2,3,9,0.8614545985909149,1.3351777361189363
168,33,176,3.623439036890497,3,3,9,0.8614545985909149,1.3351777361189363
169,33,176,0.937709066626484,4,3,9,0.8614545985909149,1.3351777361189363
170,34,90,-3.117117534602867,0,3,3,0.8614545985909149,-0.3487556955170447
171,34,116,1.9198112040946143,1,3,6,0.8614545985909149,0.3487556955170447
172,34,143,3.3965158067817764,2,3,8,0.8614545985909149,0.9084578685373853
173,34,143,1.8254707796498475,3,3,8,0.8614545985909149,0.9084578685373853
174,34,143,-1.895107369677008,4,3,8,0.8614545985909149,0.9084578685373853
175,35,165,1.4700932206058281,0,3,9,0.8614545985909149,1.3351777361189363
176,35,165,3.535376627330915,1,3,9,0.8614545985909149,1.3351777361189363
177,35,165,1.7058351709113244,2,3,9,0.8614545985909149,1.3351777361189363
178,35,165,6.072151747733116,3,3,9,0.8614545985909149,1.3351777361189363
179,35,165,1.6914111657071764,4,3,9,0.8614545985909149,1.3351777361189363
180,36,138,3.3343625123672656,0,3,8,0.8614545985909149,0.9084578685373853
181,36,138,2.7698044473653236,1,3,8,0.8614545985909149,0.9084578685373853
182,36,138,1.9939749861665372,2,3,8,0.8614545985909149,0.9084578685373853
183,36,138,1.5350108599821912,3,3,8,0.8614545985909149,0.9084578685373853
184,36,137,0.2685992880365302,4,3,8,0.8614545985909149,0.9084578685373853
185,37,120,1.2254254740118762,0,3,7,0.8614545985909149,0.6045853465832371
186,37,120,-1.5543587302808763,1,3,7,0.8614545985909149,0.6045853465832371
187,37,120,2.8712246309535177,2,3,7,0.8614545985909149,0.6045853465832371
188,37,120,-1.547164419243308,3,3,7,0.8614545985909149,0.6045853465832371
189,37,120,-2.9587227592975087,4,3,7,0.8614545985909149,0.6045853465832371
190,38,57,-0.29604543593678745,0,2,1,0.0,-0.9084578685373851
191,38,57,-1.1495355832374656,1,2,1,0.0,-0.9084578685373851
192,38,74,0.779704167461077,2,2,2,0.0,-0.6045853465832371
193,38,74,-0.7120779214132679,3,2,2,0.0,-0.6045853465832371
194,38,38,1.5828734768866959,4,2,0,0.0,-1.335177736118937
195,39,84,2.608438694896309,0,2,3,0.0,-0.3487556955170447
196,39,105,2.3096729842306134,1,2,5,0.0,0.11418529432142824
197,39,105,0.09124528070843192,2,2,5,0.0,0.11418529432142824
198,39,105,-1.8866284681903245,3,2,5,0.0,0.11418529432142824
199,39,105,-4.174942843696188,4,2,5,0.0,0.11418529432142824
200,40,41,-4.582386886260958,0,0,0,-1.934843132203402,-1.335177736118937
201,40,47,-2.1422306399474778,1,0,0,-1.934843132203402,-1.335177736118937
202,40,47,-5.657230344711671,2,0,0,-1.934843132203402,-1.335177736118937
203,40,47,-5.082580071025118,3,0,0,-1.934843132203402,-1.335177736118937
204,40,47,-6.5990381102918745,4,0,0,-1.934843132203402,-1.335177736118937
205,41,20,-5.696238460059067,0,0,0,-1.934843132203402,-1.335177736118937
206,41,20,-5.290724773630915,1,0,0,-1.934843132203402,-1.335177736118937
207,41,20,-0.822442639370661,2,0,0,-1.934843132203402,-1.335177736118937
208,41,23,-2.8317719610999763,3,0,0,-1.934843132203402,-1.335177736118937
209,41,23,-3.257591258761709,4,0,0,-1.934843132203402,-1.335177736118937
210,42,21,-2.0938101445067097,0,1,0,-0.8614545985909151,-1.335177736118937
211,42,21,-1.9685629193735603,1,1,0,-0.8614545985909151,-1.335177736118937
212,42,21,-2.969251112230294,2,1,0,-0.8614545985909151,-1.335177736118937
213,42,21,-3.61385413802208,3,1,0,-0.8614545985909151,-1.335177736118937
214,42,34,-3.3499836069708104,4,1,0,-0.8614545985909151,-1.335177736118937
215,43,161,1.862855789707643,0,2,9,0.0,1.3351777361189363
216,43,161,2.5765704957022524,1,2,9,0.0,1.3351777361189363
217,43,161,1.1673734998916894,2,2,9,0.0,1.3351777361189363
218,43,161,5.441131144772825,3,2,9,0.0,1.3351777361189363
219,43,161,0.897581348592549,4,2,9,0.0,1.3351777361189363
220,44,67,-6.658517418557632,0,2,1,0.0,-0.9084578685373851
221,44,85,2.880090724860362,1,2,3,0.0,-0.3487556955170447
222,44,85,-4.084674461835341,2,2,3,0.0,-0.3487556955170447
223,44,85,2.779382319226124,3,2,3,0.0,-0.3487556955170447
224,44,75,-1.3013682539492248,4,2,2,0.0,-0.6045853465832371
225,45,178,1.8828455357392542,0,4,9,1.934843132203402,1.3351777361189363
226,45,178,3.574799744588292,1,4,9,1.934843132203402,1.3351777361189363
227,45,178,2.231329374785342,2,4,9,1.934843132203402,1.3351777361189363
228,45,178,6.415325496287112,3,4,9,1.934843132203402,1.3351777361189363
229,45,163,7.044925491443682,4,4,9,1.934843132203402,1.3351777361189363
230,46,117,-0.44127119661615244,0,2,7,0.0,0.6045853465832371
231,46,117,2.359211609366028,1,2,7,0.0,0.6045853465832371
232,46,117,3.7324623065616045,2,2,7,0.0,0.6045853465832371
233,46,136,4.758091349497817,3,2,8,0.0,0.9084578685373853
234,46,136,-0.252154719339566,4,2,8,0.0,0.9084578685373853
235,47,12,-0.7882269960557706,0,0,0,-1.934843132203402,-1.335177736118937
236,47,12,-2.2004236189683075,1,0,0,-1.934843132203402,-1.335177736118937
237,47,12,-3.378670430571008,2,0,0,-1.934843132203402,-1.335177736118937
238,47,12,0.6013443499542563,3,0,0,-1.934843132203402,-1.335177736118937
239,47,39,-4.476723863921713,4,0,0,-1.934843132203402,-1.335177736118937
240,48,72,0.20668210330829284,0,1,2,-0.8614545985909151,-0.6045853465832371
241,48,72,-0.7391917812918641,1,1,2,-0.8614545985909151,-0.6045853465832371
242,48,72,-1.5772265070085194,2,1,2,-0.8614545985909151,-0.6045853465832371
243,48,72,-3.4932698011111887,3,1,2,-0.8614545985909151,-0.6045853465832371
244,48,72,-0.8261793086279229,4,1,2,-0.8614545985909151,-0.6045853465832371
245,49,18,-0.17090091975491895,0,0,0,-1.934843132203402,-1.335177736118937
246,49,28,-3.2097506474492317,1,0,0,-1.934843132203402,-1.335177736118937
247,49,28,-0.8875945039073634,2,0,0,-1.934843132203402,-1.335177736118937
248,49,28,-4.886619034562287,3,0,0,-1.934843132203402,-1.335177736118937
249,49,28,-4.1917872136806515,4,0,0,-1.934843132203402,-1.335177736118937
250,50,111,0.1063761528799207,0,2,6,0.0,0.3487556955170447
251,50,111,2.032668073696076,1,2,6,0.0,0.3487556955170447
252,50,111,1.1196734027804403,2,2,6,0.0,0.3487556955170447
253,50,111,3.5096494490754453,3,2,6,0.0,0.3487556955170447
254,50,88,-0.5006068629646176,4,2,3,0.0,-0.3487556955170447
255,51,168,3.4370255314859444,0,3,9,0.8614545985909149,1.3351777361189363
256,51,168,4.678859984291218,1,3,9,0.8614545985909149,1.3351777361189363
257,51,197,4.010987512933172,2,3,9,0.8614545985909149,1.3351777361189363
258,51,197,0.4687026390933664,3,3,9,0.8614545985909149,1.3351777361189363
259,51,197,-0.07847649371403387,4,3,9,0.8614545985909149,1.3351777361189363
260,52,28,-2.763010915305446,0,0,0,-1.934843132203402,-1.335177736118937
261,52,28,0.06588244220140949,1,0,0,-1.934843132203402,-1.335177736118937
262,52,28,-3.3078626620464253,2,0,0,-1.934843132203402,-1.335177736118937
263,52,28,-3.935422404619904,3,0,0,-1.934843132203402,-1.335177736118937
264,52,28,-0.9597326765974503,4,0,0,-1.934843132203402,-1.335177736118937
265,53,132,0.7306401009606696,0,3,8,0.8614545985909149,0.9084578685373853
266,53,132,2.3953260234555893,1,3,8,0.8614545985909149,0.9084578685373853
267,53,132,0.6059756812890122,2,3,8,0.8614545985909149,0.9084578685373853
268,53,132,4.407507567590606,3,3,8,0.8614545985909149,0.9084578685373853
269,53,132,3.9162188806118046,4,3,8,0.8614545985909149,0.9084578685373853
270,54,185,0.8762863392352225,0,3,9,0.8614545985909149,1.3351777361189363
271,54,185,2.331652593604383,1,3,9,0.8614545985909149,1.3351777361189363
272,54,185,2.989002417258775,2,3,9,0.8614545985909149,1.3351777361189363
273,54,122,2.515049016486042,3,3,7,0.8614545985909149,0.6045853465832371
274,54,122,5.756621894165685,4,3,7,0.8614545985909149,0.6045853465832371
275,55,168,-2.002880058026996,0,2,9,0.0,1.3351777361189363
276,55,168,2.2111147037926044,1,2,9,0.0,1.3351777361189363
277,55,168,-0.5982358660511244,2,2,9,0.0,1.3351777361189363
278,55,176,0.9005034381811083,3,2,9,0.0,1.3351777361189363
279,55,176,6.437364115769028,4,2,9,0.0,1.3351777361189363
280,56,150,4.767687836045525,0,4,9,1.934843132203402,1.3351777361189363
281,56,150,2.8399576632688017,1,4,9,1.934843132203402,1.3351777361189363
282,56,150,3.019138482204752,2,4,9,1.934843132203402,1.3351777361189363
283,56,150,1.2348019343730035,3,4,9,1.934843132203402,1.3351777361189363
284,56,150,7.845562391998928,4,4,9,1.934843132203402,1.3351777361189363
285,57,36,-3.01343327018162,0,0,0,-1.934843132203402,-1.335177736118937
286,57,36,-0.6567944429423358,1,0,0,-1.934843132203402,-1.335177736118937
287,57,36,-6.008639097620275,2,0,0,-1.934843132203402,-1.335177736118937
288,57,36,-3.0559627163511536,3,0,0,-1.934843132203402,-1.335177736118937
289,57,36,-1.2755921021391374,4,0,0,-1.934843132203402,-1.335177736118937
290,58,43,-2.3489243171725316,0,0,0,-1.934843132203402,-1.335177736118937
291,58,43,-0.1985103599291307,1,0,0,-1.934843132203402,-1.335177736118937
292,58,43,-0.8287050908262099,2,0,0,-1.934843132203402,-1.335177736118937
293,58,43,-2.520076396902592,3,0,0,-1.934843132203402,-1.335177736118937
294,58,43,-4.35253534995846,4,0,0,-1.934843132203402,-1.335177736118937
295,59,69,-2.8803951409027277,0,0,1,-1.934843132203402,-0.9084578685373851
296,59,37,-2.478494893318303,1,0,0,-1.934843132203402,-1.335177736118937
297,59,37,-4.709690607143836,2,0,0,-1.934843132203402,-1.335177736118937
298,59,37,-1.0146383807278245,3,0,0,-1.934843132203402,-1.335177736118937
299,59,37,-2.216635892406477,4,0,0,-1.934843132203402,-1.335177736118937
300,60,132,2.0183879049988187,0,3,8,0.8614545985909149,0.9084578685373853
301,60,132,1.9205928665486547,1,3,8,0.8614545985909149,0.9084578685373853
302,60,132,1.9426180820919507,2,3,8,0.8614545985909149,0.9084578685373853
303,60,132,4.858395229088252,3,3,8,0.8614545985909149,0.9084578685373853
304,60,132,1.3003448262738706,4,3,8,0.8614545985909149,0.9084578685373853
305,61,49,-2.2791465063808083,0,1,0,-0.8614545985909151,-1.335177736118937
306,61,49,0.43851722924906955,1,1,0,-0.8614545985909151,-1.335177736118937
307,61,49,2.017912052343754,2,1,0,-0.8614545985909151,-1.335177736118937
308,61,49,-6.706700493235718,3,1,0,-0.8614545985909151,-1.335177736118937
309,61,49,-3.523407288755362,4,1,0,-0.8614545985909151,-1.335177736118937
310,62,10,-6.649128150998151,0,0,0,-1.934843132203402,-1.335177736118937
311,62,10,-4.036092046994947,1,0,0,-1.934843132203402,-1.335177736118937
312,62,10,-5.080040273130922,2,0,0,-1.934843132203402,-1.335177736118937
313,62,10,-7.2645648403924765,3,0,0,-1.934843132203402,-1.335177736118937
314,62,10,-8.965071364514447,4,0,0,-1.934843132203402,-1.335177736118937
315,63,196,4.006174159129952,0,4,9,1.934843132203402,1.3351777361189363
316,63,128,6.2348700491908176,1,4,8,1.934843132203402,0.9084578685373853
317,63,128,6.077207424335635,2,4,8,1.934843132203402,0.9084578685373853
318,63,128,1.6217037084030737,3,4,8,1.934843132203402,0.9084578685373853
319,63,128,5.199357135268399,4,4,8,1.934843132203402,0.9084578685373853
320,64,88,-3.254028816980076,0,1,3,-0.8614545985909151,-0.3487556955170447
321,64,88,-1.8075177658662152,1,1,3,-0.8614545985909151,-0.3487556955170447
322,64,88,-2.4901329538215604,2,1,3,-0.8614545985909151,-0.3487556955170447
323,64,88,0.05032543075454754,3,1,3,-0.8614545985909151,-0.3487556955170447
324,64,88,-0.6947216973292011,4,1,3,-0.8614545985909151,-0.3487556955170447
325,65,12,-1.6350916079870648,0,0,0,-1.934843132203402,-1.335177736118937
326,65,12,-3.320846417141476,1,0,0,-1.934843132203402,-1.335177736118937
327,65,43,-2.3544969744888458,2,0,0,-1.934843132203402,-1.335177736118937
328,65,43,-4.181300587348828,3,0,0,-1.934843132203402,-1.335177736118937
329,65,5,-1.7155748686833998,4,0,0,-1.934843132203402,-1.335177736118937
330,66,159,1.0810169184179905,0,4,9,1.934843132203402,1.3351777361189363
331,66,159,4.205690149508337,1,4,9,1.934843132203402,1.3351777361189363
332,66,159,6.618338043031425,2,4,9,1.934843132203402,1.3351777361189363
333,66,159,1.9727868867304212,3,4,9,1.934843132203402,1.3351777361189363
334,66,159,2.9378558998969035,4,4,9,1.934843132203402,1.3351777361189363
335,67,170,5.587708649417476,0,4,9,1.934843132203402,1.3351777361189363
336,67,170,1.9996270771079576,1,4,9,1.934843132203402,1.3351777361189363
337,67,158,6.177559302204552,2,4,9,1.934843132203402,1.3351777361189363
338,67,180,2.5951513918617652,3,4,9,1.934843132203402,1.3351777361189363
339,67,180,4.420679417938403,4,4,9,1.934843132203402,1.3351777361189363
340,68,56,-2.29853288697269,0,0,1,-1.934843132203402,-0.9084578685373851
341,68,56,-2.829544531105727,1,0,1,-1.934843132203402,-0.9084578685373851
342,68,56,-2.230577003761311,2,0,1,-1.934843132203402,-0.9084578685373851
343,68,56,-3.1649208886633757,3,0,1,-1.934843132203402,-0.9084578685373851
344,68,56,-2.7034393069077525,4,0,1,-1.934843132203402,-0.9084578685373851
345,69,149,5.303995419533936,0,4,9,1.934843132203402,1.3351777361189363
346,69,149,-2.686474646833932,1,4,9,1.934843132203402,1.3351777361189363
347,69,149,3.6202269466154458,2,4,9,1.934843132203402,1.3351777361189363
348,69,149,3.259671571168709,3,4,9,1.934843132203402,1.3351777361189363
349,69,149,-0.8451529697725073,4,4,9,1.934843132203402,1.3351777361189363
350,70,85,-0.8492398317140009,0,2,3,0.0,-0.3487556955170447
351,70,85,-2.689635474346366,1,2,3,0.0,-0.3487556955170447
352,70,85,-3.082557479946181,2,2,3,0.0,-0.3487556955170447
353,70,85,0.6305543912383709,3,2,3,0.0,-0.3487556955170447
354,70,85,-3.55011734733728,4,2,3,0.0,-0.3487556955170447
355,71,82,0.06819757542286653,0,1,2,-0.8614545985909151,-0.6045853465832371
356,71,82,-1.5050431491067005,1,1,2,-0.8614545985909151,-0.6045853465832371
357,71,82,0.36560180532230757,2,1,2,-0.8614545985909151,-0.6045853465832371
358,71,82,-1.7883280174708842,3,1,2,-0.8614545985909151,-0.6045853465832371
359,71,82,-0.8525099341078907,4,1,2,-0.8614545985909151,-0.6045853465832371
360,72,196,1.6119250661988784,0,3,9,0.8614545985909149,1.3351777361189363
361,72,127,1.489855781299795,1,3,7,0.8614545985909149,0.6045853465832371
362,72,127,5.738981573642931,2,3,7,0.8614545985909149,0.6045853465832371
363,72,127,2.1506752827931006,3,3,7,0.8614545985909149,0.6045853465832371
364,72,127,2.4279191244077665,4,3,7,0.8614545985909149,0.6045853465832371
